epoch,distance_mae_error,gate_center_mae_error,loss,lr,orientation_mae_error,val_distance_mae_error,val_gate_center_mae_error,val_loss,val_orientation_mae_error
0,0.076941796,0.041058358,4.071456460673555,0.001,0.026371673,0.06736498,0.032647505,2.82160921394825,0.022085173
1,0.048743103,0.025217403,1.8115507388908745,0.001,0.02121978,0.04752092,0.024796955,1.7174477813144524,0.021197986
2,0.042730227,0.021067388,1.4700957969190334,0.001,0.020047713,0.04314945,0.020442583,1.4634740526477497,0.020009428
3,0.038916588,0.01865417,1.269869393582459,0.001,0.019298904,0.053783983,0.019460356,1.9012329565982025,0.02035527
4,0.036072124,0.016953228,1.1216328955682082,0.001,0.018638263,0.04333811,0.01710651,1.363114695996046,0.019313695
5,0.031153817,0.014374473,0.9107048316130545,1e-04,0.017247492,0.032344382,0.014743437,0.9739648653194308,0.017829103
6,0.030476792,0.014155647,0.8841889642957431,1e-04,0.017068451,0.033497375,0.014462779,0.9968597454329332,0.017710507
7,0.029869363,0.014020669,0.8618219000395348,1e-04,0.016997058,0.03174743,0.014441944,0.9433993119746447,0.01757897
8,0.029328482,0.013746726,0.8395786458534433,1e-05,0.016850805,0.0315736,0.014109075,0.9330821596086025,0.017457547
9,0.029182918,0.0137020275,0.8335633810981681,1e-05,0.016837172,0.031426117,0.0141335,0.9280523437385758,0.01743321
10,0.029086793,0.013691512,0.8308251375240518,1e-05,0.016809037,0.03130083,0.014150183,0.9295458989217877,0.017448526
11,0.029105293,0.013687926,0.8305664657862123,1e-05,0.016831746,0.031249024,0.014084401,0.9271821683893601,0.017425487
12,0.02924086,0.013644241,0.8331865005870911,1e-05,0.016794488,0.031243555,0.014112019,0.9243722598378857,0.017425172
13,0.02891789,0.013650636,0.8238364175458179,1e-05,0.016766213,0.031239761,0.014091533,0.9236733795454105,0.017398598
14,0.02877344,0.013569411,0.8211212327231222,1e-05,0.01676817,0.03125428,0.014041156,0.9217302349085609,0.017413756
15,0.028949741,0.0135779455,0.8233794834460512,1e-05,0.01675764,0.03119217,0.0140240835,0.9205278409644961,0.017395651
16,0.028835777,0.013562071,0.8201389882786265,1e-05,0.016753258,0.031168329,0.014025279,0.9188216496258974,0.01737022
17,0.028853893,0.0135924,0.8249247957589843,1e-05,0.016755017,0.031186087,0.014019176,0.9190921441962322,0.01738532
18,0.028915873,0.013539678,0.8211115730411013,1e-05,0.016724072,0.031205125,0.014007719,0.9183880056565007,0.017380977
19,0.028656725,0.013538076,0.8126215991894495,1e-05,0.016735114,0.03115802,0.013985351,0.9163123024627566,0.017378474
20,0.028718421,0.013499256,0.8138436771219277,1e-05,0.016716804,0.031169226,0.013968104,0.9153789216652513,0.017364928
21,0.028748756,0.013496307,0.8134512256330518,1e-05,0.016760295,0.0311379,0.01394973,0.9150880590702096,0.017351562
22,0.028490325,0.01351985,0.8068329103368022,1e-05,0.01668368,0.031072225,0.013991485,0.914916092219452,0.017370142
23,0.028530257,0.013476217,0.8060630879158541,1e-05,0.016708972,0.031081455,0.013943487,0.9125640420243144,0.017354215
24,0.0287006,0.013472607,0.8109041569427289,1e-05,0.016704405,0.030977692,0.013979635,0.911643723025918,0.017351924
25,0.02847309,0.0134629365,0.8041296632774388,1e-05,0.016690234,0.031029178,0.013906719,0.9096200174341599,0.017329453
26,0.028728792,0.013472678,0.8109711080139458,1e-05,0.016685095,0.030949,0.013945308,0.9095564652234316,0.017334145
27,0.028429896,0.013447983,0.8026851895003313,1e-05,0.016679334,0.030966716,0.013952811,0.9095182592670122,0.017317034
28,0.028454842,0.013422632,0.8021269763309838,1e-05,0.016674977,0.030993415,0.013901414,0.9089110642671585,0.017333996
29,0.028441178,0.013411192,0.8004558384076326,1e-05,0.016668525,0.03093098,0.013882036,0.9063006058956186,0.017302526
30,0.0284416,0.013422562,0.8005780048334776,1e-05,0.016653087,0.031031098,0.013859819,0.9086722815409303,0.01730182
31,0.028444223,0.013378367,0.7992017892553941,1e-05,0.016634937,0.030986972,0.013871113,0.9076938955113292,0.01731886
32,0.028359802,0.013395617,0.7976689113883556,1e-05,0.01662573,0.030906847,0.013820084,0.9045569713537892,0.01731275
33,0.02818444,0.0133270705,0.7911574205834885,1e-05,0.016647978,0.030974345,0.013868592,0.9064613614852229,0.017291458
34,0.028220996,0.013357329,0.7924200913662478,1e-05,0.01662173,0.030951079,0.013788485,0.9036437732477983,0.01725746
35,0.02818874,0.013320913,0.7906172583489138,1e-05,0.016594604,0.030852914,0.0138155855,0.9027749430388212,0.017267212
36,0.028135885,0.013306191,0.7908569006366927,1e-05,0.016606016,0.03084652,0.013833067,0.9040607338150343,0.01730271
37,0.028096303,0.013318419,0.7884651393074666,1e-05,0.016599003,0.030924678,0.013773866,0.9015950672328472,0.017256312
38,0.028277751,0.013314168,0.7915029803592494,1e-05,0.016596003,0.030852772,0.013810705,0.899783406406641,0.017251879
39,0.028053809,0.013282802,0.7858555343271534,1e-05,0.01660079,0.030766875,0.013756417,0.8991414792835712,0.017243603
40,0.027972111,0.01326152,0.7846641348916545,1e-05,0.016641483,0.030781977,0.013819495,0.899996436201036,0.017270358
41,0.02802182,0.013290688,0.7855240036439403,1e-05,0.016584238,0.030737357,0.013748542,0.8973070293044051,0.017220076
42,0.028105589,0.013259116,0.7873354065910957,1e-05,0.016567187,0.03075308,0.013737568,0.8965160169949135,0.01720842
43,0.028082417,0.01325173,0.7855928032803344,1e-05,0.016541125,0.030696763,0.013750342,0.8970373955865701,0.017195469
44,0.027799625,0.013234706,0.7779854146333841,1e-05,0.016553694,0.030778239,0.013664912,0.894420144148171,0.017203338
45,0.027979089,0.01320348,0.7818922074736191,1e-05,0.01656705,0.030693628,0.013705315,0.8950662901625037,0.017215624
46,0.02786151,0.013185999,0.7807358884510298,1e-05,0.01653779,0.03076562,0.013654868,0.8943025680879751,0.017199172
47,0.02779926,0.013183531,0.7780799566330784,1e-05,0.016565323,0.030703796,0.0136892805,0.8924498232081532,0.017205307
48,0.027818223,0.013190735,0.7776462243769391,1e-05,0.016562507,0.03067008,0.013680575,0.8928383834039172,0.017169796
49,0.027723629,0.013161724,0.7747037570183641,1e-05,0.016556833,0.030608317,0.01365826,0.8891849930708607,0.017156875
50,0.027745992,0.013165012,0.7718514475359846,1e-05,0.01650621,0.030691253,0.013643469,0.890773688753446,0.017164476
51,0.027716324,0.013143409,0.7724172242678676,1e-05,0.016518328,0.030641798,0.013644339,0.8896360111733278,0.017131804
52,0.027818594,0.013162993,0.7737797411451657,1e-05,0.016503556,0.030600674,0.013639228,0.8905347005153695,0.01715946
53,0.027713234,0.01314744,0.7717648641592326,1e-05,0.016529508,0.03056582,0.01362724,0.8880404215306044,0.017150141
54,0.027662473,0.013092571,0.7687161649341014,1e-05,0.016508691,0.030619247,0.013662556,0.89120295116057,0.017140456
55,0.027461391,0.013131122,0.7659559311809278,1e-05,0.016511539,0.030533679,0.013591538,0.8870565177251896,0.017146863
56,0.02761905,0.013093237,0.7667748001494994,1e-05,0.016476102,0.030598989,0.013589053,0.8863049084320664,0.017129434
57,0.027454564,0.013087599,0.7629005546616359,1e-05,0.016475303,0.030624833,0.01355267,0.8855843478813767,0.017089926
58,0.027512714,0.013041959,0.7631818351734656,1e-05,0.016463881,0.03048652,0.013544365,0.8833475510279337,0.01709472
59,0.027389914,0.013073439,0.7592534042732313,1e-05,0.01643301,0.030451711,0.013553224,0.882879851385951,0.017095394
60,0.027317785,0.013050561,0.7575495763158963,1e-05,0.016440626,0.030435868,0.0135726165,0.8818320082500577,0.017110547
61,0.027382866,0.013053729,0.760196719425554,1e-05,0.016447617,0.03050268,0.013540898,0.8818971151486039,0.017121652
62,0.02751105,0.0130370045,0.7613445491317219,1e-05,0.016434781,0.030531533,0.0135306595,0.8829118531818191,0.017101584
63,0.027480245,0.013027223,0.7619032354428765,1e-05,0.016440226,0.030431721,0.013521588,0.8813847061246634,0.017096536
64,0.027453817,0.012986933,0.7597748174254026,1e-05,0.016386654,0.030426012,0.013542111,0.8831931330884496,0.017081572
65,0.027211657,0.012994127,0.7517268382928127,1e-05,0.016378669,0.030424364,0.013502706,0.8794346436237296,0.017079972
66,0.027295463,0.012988386,0.7561821854073473,1e-05,0.01642385,0.030476872,0.013483637,0.879150714725256,0.017074227
67,0.027215546,0.012937399,0.7508477197722644,1e-05,0.016432287,0.030434804,0.013468752,0.8776240876565377,0.017050033
68,0.02713216,0.012949513,0.7489883403211456,1e-05,0.016409514,0.030398624,0.01347692,0.877622677013278,0.01705938
69,0.027152486,0.012960118,0.7513056753286674,1e-05,0.016400497,0.030427055,0.013445582,0.8765865952397386,0.017041214
70,0.02721212,0.012961359,0.7487865373338268,1e-05,0.016377566,0.030333392,0.0134711955,0.8767753696690003,0.017025856
71,0.027076155,0.012962043,0.7460316440473331,1e-05,0.0163867,0.03036008,0.013451643,0.8759454898536205,0.017042812
72,0.027130302,0.0129331155,0.749020234657073,1e-05,0.016353702,0.03033701,0.01344222,0.8754119031752149,0.017041238
73,0.027038949,0.012889276,0.7439037436869607,1e-05,0.01637656,0.03038953,0.013472179,0.8753799088299274,0.017038701
74,0.02692864,0.012923091,0.7415889966912166,1e-05,0.016391555,0.03036402,0.01346287,0.8755940717334548,0.017038658
75,0.027056899,0.01291206,0.743143988428926,1e-05,0.016344417,0.030296972,0.013419769,0.8739449117953578,0.017023508
76,0.027008139,0.012902163,0.7442345528528693,1e-05,0.01637215,0.030289378,0.013414354,0.8765969357142845,0.017008178
77,0.026827982,0.012851911,0.7377886811504408,1e-05,0.016315175,0.030283911,0.0134273525,0.8733888923500975,0.01700894
78,0.026895083,0.0128662,0.740075665554962,1e-05,0.016342372,0.030364027,0.013415625,0.8736481467882792,0.017012231
79,0.026887016,0.0128708985,0.7368574902398167,1e-05,0.01631469,0.030248765,0.013378298,0.8705010923246542,0.017004464
80,0.02690014,0.0128092775,0.736525315402159,1e-05,0.016336622,0.030266829,0.013373186,0.8707355316728354,0.016993422
81,0.026825048,0.012823235,0.7360722375039255,1e-05,0.016300539,0.030180342,0.013349176,0.8686312291150292,0.017007682
82,0.026769966,0.012818077,0.7335682546230189,1e-05,0.016291874,0.030178543,0.013391692,0.8700941701730093,0.016991153
83,0.026653457,0.01280644,0.7327583380188926,1e-05,0.016296031,0.030160049,0.013338329,0.8681372987727324,0.016984304
84,0.026860453,0.012801981,0.7351660490651902,1e-05,0.01629514,0.030178223,0.013339118,0.8667157236486673,0.016979747
85,0.026687745,0.012790001,0.7322170452806076,1e-05,0.01625482,0.030307684,0.013326783,0.8677213306849202,0.016972663
86,0.026723485,0.012839286,0.7322743022482924,1e-05,0.01631134,0.030151166,0.013297571,0.8652205107112726,0.016954506
87,0.026768047,0.012779395,0.7309177726609836,1e-05,0.016286086,0.030098863,0.013303783,0.865092147141695,0.016950633
88,0.02652064,0.012743324,0.7268399481589978,1e-05,0.01627043,0.03013713,0.013296736,0.8673128560185432,0.016948113
89,0.02676074,0.012739183,0.7314843712663267,1e-05,0.01627303,0.030139271,0.013314798,0.8657447791968783,0.016945727
90,0.026758973,0.012729009,0.7319896344681421,1e-05,0.016262757,0.030116584,0.013274478,0.8639576177423199,0.016928216
91,0.026598245,0.012704019,0.7242321982107262,1e-05,0.016261453,0.030049907,0.013284803,0.863193436836203,0.016923668
92,0.026710747,0.012729143,0.7300960256982205,1e-05,0.01624744,0.030081915,0.013304421,0.8644164397070805,0.016937869
93,0.02659859,0.012713823,0.725071657607257,1e-05,0.016234506,0.030105975,0.013239549,0.8624352607876062,0.016940974
94,0.026453638,0.012688527,0.7204617253332544,1e-05,0.016218916,0.030071229,0.01325988,0.8605858885372678,0.016919067
95,0.026511366,0.0127021605,0.7233864127836873,1e-05,0.016267015,0.030088067,0.013218138,0.8597896751016378,0.01689014
96,0.026482563,0.012694108,0.7210944573107324,1e-05,0.016221076,0.030038562,0.0132841095,0.8617524964114031,0.016909676
97,0.026439648,0.012672804,0.7193061765176421,1e-05,0.016191581,0.03000953,0.013250059,0.8593238707010945,0.016892048
